community_area,latitude,longitude
1,42.00940695456599,-87.67012668675049
2,42.00117637409568,-87.69454404412559
3,41.96583343159762,-87.65875306734237
4,41.97216281782468,-87.68834999329037
5,41.948040928006364,-87.68267472514232
6,41.94391758100428,-87.65796426543066
7,41.923565998579924,-87.65173346070569
8,41.89868627959467,-87.63158865282774
9,42.00654345413007,-87.81363566448262
10,41.984936038368964,-87.80083616511278
11,41.97678597191498,-87.77036687208987
12,41.99269466135697,-87.75107926855793
13,41.98400257595751,-87.71756370041729
14,41.96768349750311,-87.71973637379222
15,41.95364143463158,-87.76286990702758
16,41.95336875225321,-87.72188409404953
17,41.944701849195795,-87.80491960598152
18,41.92968086690076,-87.79848925851715
19,41.92779862621689,-87.76426182000118
20,41.92376960519824,-87.73412863648149
21,41.937984507511764,-87.71189829964005
22,41.92261399051584,-87.69899508462515
23,41.90240635003584,-87.72019918595038
24,41.90157695258512,-87.67596123661056
25,41.89500622709441,-87.7620434106668
26,41.878438563047965,-87.72985599608295
27,41.879050079540164,-87.70467265841197
28,41.87665287797975,-87.66413639593056
29,41.85937875104535,-87.71773847732166
30,41.84451656983258,-87.71279494720771
31,41.85415683388516,-87.66635067215857
32,41.879662228693824,-87.62740313149045
33,41.858782121273954,-87.62429851061192
34,41.84663508702205,-87.63418364810848
35,41.83431719153346,-87.62024497878225
36,41.82292702397724,-87.60436589504602
37,41.81025976372877,-87.63289999019034
38,41.81319870708397,-87.61746552780451
39,41.809464635711024,-87.598368956472
40,41.791575786847005,-87.62052878514646
41,41.79616198126895,-87.59260464216406
42,41.77827433434123,-87.60190778093182
43,41.761641106540026,-87.57397829707956
44,41.74119039477,-87.61348166852383
45,41.74463492020639,-87.58714587084621
46,41.74189385920501,-87.55750466894769
47,41.72848999587993,-87.59703997596723
48,41.730089665554175,-87.57377747120968
49,41.705358094937274,-87.6240906530568
50,41.704737297429126,-87.60229150290186
51,41.71284897912229,-87.56415984662786
52,41.703327963324234,-87.53523600211035
53,41.674367155505756,-87.63428785577555
54,41.657363383176474,-87.60763722332953
55,41.658032263949934,-87.5471504535515
56,41.797056722516636,-87.76534240918059
57,41.80579386348216,-87.72673458014023
58,41.81632823587232,-87.697442429168
59,41.82996043455843,-87.67517353657628
60,41.83689134683814,-87.64813400781328
61,41.80631909739342,-87.66113769180005
62,41.793254116510695,-87.7241835625678
63,41.79513594075981,-87.6968832949707
64,41.77848700593964,-87.7693790890998
65,41.774986080626825,-87.72309998111344
66,41.774471526896946,-87.69526587852778
67,41.776722257928164,-87.66602565020283
68,41.776416650838044,-87.64416090775123
69,41.76181520812747,-87.61665585290562
70,41.745163466658525,-87.712947785684
71,41.74476802823506,-87.65667157785748
72,41.712489394615446,-87.67461534190565
73,41.71802261126239,-87.64876918646985
74,41.69605973193881,-87.70841901928388
75,41.690002642561524,-87.66696460958019
76,41.971368488272304,-87.84520040564675
77,41.98664960615497,-87.66423668655193
