year,n_obs,A_count_ge_2_rate,B_count_ge_3_rate,C_count_ge_5_rate,D_gt_rolling_4w_rate,E_ge_1.5x_rolling_4w_rate,F_ge_2x_rolling_4w_rate
2020,40040,0.7928821178821179,0.7070929070929071,0.5670829170829171,0.39865134865134866,0.23086913086913086,0.14907592407592407
2021,40040,0.7969030969030969,0.7133866133866134,0.5757992007992008,0.4205794205794206,0.24605394605394607,0.1630869130869131
2022,40040,0.7971528471528472,0.7127622377622378,0.5719280719280719,0.4264735264735265,0.241008991008991,0.1576923076923077
2023,40040,0.8074425574425574,0.721978021978022,0.5749250749250749,0.4303446553446553,0.2380869130869131,0.1487012987012987
2024,40810,0.8120313648615536,0.7256064690026954,0.5873805439843176,0.42479784366576817,0.2339622641509434,0.1489585885812301
2025,40040,0.7896853146853147,0.7056443556443557,0.5718531468531468,0.41448551448551446,0.22834665334665336,0.1431818181818182
