month,sr_type,complaint_count
2,Pet Wellness Check Request,1693
2,Porch Inspection Request,194
2,Pothole in Street Complaint,34671
2,Protected Bike Lane - Debris Removal,94
2,Public Vehicle Complaint,111
2,Pushcart Food Vendor Complaint,59
2,Recycling Inspection Request,152
2,Recycling Pick Up,4022
2,Renters and Foreclosure Complaint,26
2,Report an Injured Animal,2746
2,Restaurant Complaint,1203
2,Ridesharing Complaint,111
2,Rodent Baiting/Rat Complaint,12972
2,Sanitation Code Violation,5343
2,Sewer Cave-In Inspection Request,2116
2,Sewer Cleaning Inspection Request,3409
2,Shared Cost Sidewalk Program Request,94
2,Shared Housing/Vacation Rental Complaint,145
2,Sidewalk Café/Outdoor Dining Complaint,62
2,Sidewalk Inspection Request,2535
2,Sign Repair Request - All Other Signs,8725
2,Sign Repair Request - Do Not Enter Sign,278
2,Sign Repair Request - One Way Sign,923
2,Sign Repair Request - Stop Sign,2248
2,Smokeless Tobacco at Sports Event Complaint,4
2,Snow - Object/Dibs Removal Request,8962
2,Snow Removal - Protected Bike Lane or Bridge Sidewalk,230
2,Snow – Uncleared Sidewalk Complaint,10858
2,Stray Animal Complaint,5340
2,Street Cleaning Request,1652
2,Street Light On During Day Complaint,392
2,Street Light Out Complaint,22172
2,Street Light Pole Damage Complaint,2001
2,Street Light Pole Door Missing Complaint,359
2,Tobacco - General Complaint,85
2,Tobacco - Sale to Minors Complaint,68
2,Traffic Signal Out Complaint,11693
2,Tree Debris Clean-Up Request,2662
2,Tree Emergency,1627
2,Tree Planting Request,4104
2,Tree Removal Inspection,3702
2,Tree Trim Request (NO LONGER BEING ACCEPTED),12326
2,Vacant/Abandoned Building Complaint,1839
2,Vehicle Parked in Bike Lane Complaint,809
2,Viaduct Light Out Complaint,198
2,Vicious Animal Complaint,2654
2,Wage Complaint,71
2,Water Lead Test Kit Request,3553
2,Water Lead Test Visit Request,507
2,Water On Street Complaint,3444
2,Water Quality Concern,320
2,Water in Basement Complaint,2189
2,Wire Basket Request,392
2,Yard Waste Pick-Up Request,688
3,311 INFORMATION ONLY CALL,386853
3,Abandoned Vehicle Complaint,24533
3,Aircraft Noise Complaint,161913
3,Alley Light Out Complaint,5382
3,Alley Pothole Complaint,6949
3,Alley Sewer Inspection Request,719
3,Animal In Trap Complaint,133
3,Bee/Wasp Removal,215
3,Bicycle Request/Complaint,361
3,Blue Recycling Cart,9753
3,Building Violation,9155
3,Buildings - Plumbing Violation,3255
3,Bungalow/Vintage Home Information Request,48
3,Business Complaints,2245
3,Cab Feedback,1358
3,Cable TV Complaint,233
3,Check for Leak,4502
3,City Vehicle Sticker Violation,1816
3,Clean Vacant Lot Request,2915
3,Clean and Green Program Request,258
3,Commercial Fire Safety Inspection Request,138
3,Consumer Fraud Complaint,807
3,Consumer Retail Business Complaint,477
3,Coyote Interaction Complaint,728
3,Dead Animal Pick-Up Request,6061
3,Dead Bird,302
3,Divvy Bike Parking Complaint,455
3,E-Scooter Parking Complaint,541
3,Finance Parking Code Enforcement Review,1893
3,Fly Dumping Complaint,6135
3,Garbage Cart Maintenance,23600
3,Graffiti Removal Request,52433
3,Home Buyer Program Info Request,211
3,Ice and Snow Removal Request,100
3,Inaccurate Fuel Pump Complaint,57
3,Inaccurate Retail Scales Complaint,1
3,Inspect Public Way Request,3710
3,Lead Inspection Request,117
3,Licensed Pharmaceutical Representative Complaint,1
3,Liquor Establishment Complaint,167
3,Low Water Pressure Complaint,805
3,Missed Garbage Pick-Up Complaint,3605
3,No Air Conditioning,2
3,No Building Permit and Construction Violation,2716
3,No Solicitation Complaint,44
3,No Water Complaint,1438
3,Nuisance Animal Complaint,3043
3,Open Fire Hydrant Complaint,564
3,Outdated Merchandise Complaint,29
3,Paid Sick Leave Violation,152
3,Pavement Cave-In Inspection Request,17
3,Pet Wellness Check Request,1184
3,Porch Inspection Request,225
3,Pothole in Street Complaint,43470
3,Protected Bike Lane - Debris Removal,108
3,Public Vehicle Complaint,111
3,Pushcart Food Vendor Complaint,80
3,Recycling Inspection Request,151
3,Recycling Pick Up,3748
3,Renters and Foreclosure Complaint,21
3,Report an Injured Animal,3475
3,Restaurant Complaint,1393
3,Ridesharing Complaint,113
