month,sr_type,complaint_count
8,No Building Permit and Construction Violation,3108
8,No Solicitation Complaint,38
8,No Water Complaint,1622
8,Nuisance Animal Complaint,3067
8,Open Fire Hydrant Complaint,7510
8,Outdated Merchandise Complaint,29
8,Paid Sick Leave Violation,105
8,Pavement Cave-In Inspection Request,25
8,Pet Wellness Check Request,1625
8,Porch Inspection Request,345
8,Pothole in Street Complaint,17145
8,Protected Bike Lane - Debris Removal,151
8,Public Vehicle Complaint,169
8,Pushcart Food Vendor Complaint,176
8,Recycling Inspection Request,166
8,Recycling Pick Up,3269
8,Renters and Foreclosure Complaint,19
8,Report an Injured Animal,5570
8,Restaurant Complaint,1733
8,Ridesharing Complaint,97
8,Rodent Baiting/Rat Complaint,36787
8,Sanitation Code Violation,10617
8,Sewer Cave-In Inspection Request,3213
8,Sewer Cleaning Inspection Request,5471
8,Shared Cost Sidewalk Program Request,2
8,Shared Housing/Vacation Rental Complaint,200
8,Sidewalk Café/Outdoor Dining Complaint,217
8,Sidewalk Inspection Request,5483
8,Sign Repair Request - All Other Signs,10068
8,Sign Repair Request - Do Not Enter Sign,410
8,Sign Repair Request - One Way Sign,1379
8,Sign Repair Request - Stop Sign,2640
8,Smokeless Tobacco at Sports Event Complaint,3
8,Snow - Object/Dibs Removal Request,4
8,Stray Animal Complaint,6170
8,Street Cleaning Request,2929
8,Street Light On During Day Complaint,887
8,Street Light Out Complaint,28639
8,Street Light Pole Damage Complaint,2765
8,Street Light Pole Door Missing Complaint,499
8,Submerged Divvy or Lime Device in the Lake/River,2
8,Tobacco - General Complaint,89
8,Tobacco - Sale to Minors Complaint,49
8,Traffic Signal Out Complaint,12037
8,Tree Debris Clean-Up Request,33558
8,Tree Emergency,27011
8,Tree Planting Request,9329
8,Tree Removal Inspection,13658
8,Tree Trim Request (NO LONGER BEING ACCEPTED),25943
8,Vacant/Abandoned Building Complaint,3949
8,Vehicle Parked in Bike Lane Complaint,795
8,Viaduct Light Out Complaint,213
8,Vicious Animal Complaint,3545
8,Wage Complaint,179
8,Water Lead Test Kit Request,7666
8,Water Lead Test Visit Request,876
8,Water On Street Complaint,4623
8,Water Quality Concern,389
8,Water in Basement Complaint,13218
8,Weed Removal Request,25726
8,Wire Basket Request,798
8,Yard Waste Pick-Up Request,7769
9,311 INFORMATION ONLY CALL,330555
9,Abandoned Vehicle Complaint,23527
9,Aircraft Noise Complaint,168020
9,Alley Light Out Complaint,4295
9,Alley Pothole Complaint,3839
9,Alley Sewer Inspection Request,668
9,Animal In Trap Complaint,166
9,Bee/Wasp Removal,971
9,Bicycle Request/Complaint,419
9,Blue Recycling Cart,10574
9,Building Violation,11156
9,Buildings - Plumbing Violation,3381
9,Bungalow/Vintage Home Information Request,41
9,Business Complaints,2495
9,Cab Feedback,1662
9,Cable TV Complaint,167
9,Check for Leak,5080
9,City Vehicle Sticker Violation,1833
9,Clean Vacant Lot Request,2503
9,Clean and Green Program Request,99
9,Commercial Fire Safety Inspection Request,156
9,Consumer Fraud Complaint,670
9,Consumer Retail Business Complaint,348
9,Coyote Interaction Complaint,665
9,Dead Animal Pick-Up Request,10125
9,Dead Bird,552
9,Divvy Bike Parking Complaint,969
9,E-Scooter,123
9,E-Scooter Parking Complaint,1800
9,Finance Parking Code Enforcement Review,3166
9,Fly Dumping Complaint,7542
9,Garbage Cart Maintenance,28160
9,Graffiti Removal Request,50189
9,Home Buyer Program Info Request,150
9,Inaccurate Fuel Pump Complaint,41
9,Inaccurate Retail Scales Complaint,2
9,Inspect Public Way Request,4186
9,Lead Inspection Request,173
9,Licensed Pharmaceutical Representative Complaint,5
9,Liquor Establishment Complaint,135
9,Low Water Pressure Complaint,1202
9,Missed Garbage Pick-Up Complaint,3358
9,No Air Conditioning,71
9,No Building Permit and Construction Violation,2901
9,No Solicitation Complaint,28
9,No Water Complaint,1517
9,Nuisance Animal Complaint,3402
9,Open Fire Hydrant Complaint,3095
9,Outdated Merchandise Complaint,26
9,Paid Sick Leave Violation,72
9,Pavement Cave-In Inspection Request,27
9,Pet Wellness Check Request,1470
9,Petcoke Dust Complaint,1
9,Porch Inspection Request,311
9,Pothole in Street Complaint,13954
9,Protected Bike Lane - Debris Removal,156
9,Public Vehicle Complaint,178
9,Pushcart Food Vendor Complaint,157
9,Recycling Inspection Request,302
9,Recycling Pick Up,3017
9,Renters and Foreclosure Complaint,27
9,Report an Injured Animal,5343
9,Restaurant Complaint,1619
9,Ridesharing Complaint,88
9,Rodent Baiting/Rat Complaint,34659
9,Sanitation Code Violation,8625
9,Sewer Cave-In Inspection Request,2728
9,Sewer Cleaning Inspection Request,4692
9,Shared Cost Sidewalk Program Request,4
9,Shared Housing/Vacation Rental Complaint,239
9,Sidewalk Café/Outdoor Dining Complaint,178
9,Sidewalk Inspection Request,4772
9,Sign Repair Request - All Other Signs,9422
9,Sign Repair Request - Do Not Enter Sign,358
9,Sign Repair Request - One Way Sign,1295
9,Sign Repair Request - Stop Sign,2357
9,Smokeless Tobacco at Sports Event Complaint,2
9,Stray Animal Complaint,6012
9,Street Cleaning Request,2538
9,Street Light On During Day Complaint,614
9,Street Light Out Complaint,24188
9,Street Light Pole Damage Complaint,2183
9,Street Light Pole Door Missing Complaint,498
9,Submerged Divvy or Lime Device in the Lake/River,10
9,Tobacco - General Complaint,82
9,Tobacco - Sale to Minors Complaint,65
9,Traffic Signal Out Complaint,11448
9,Tree Debris Clean-Up Request,17150
9,Tree Emergency,9410
9,Tree Planting Request,6883
9,Tree Removal Inspection,9979
9,Tree Trim Request (NO LONGER BEING ACCEPTED),17477
9,Vacant/Abandoned Building Complaint,3187
9,Vehicle Parked in Bike Lane Complaint,1184
9,Viaduct Light Out Complaint,172
9,Vicious Animal Complaint,3560
9,Wage Complaint,166
9,Water Lead Test Kit Request,7540
9,Water Lead Test Visit Request,849
9,Water On Street Complaint,3160
9,Water Quality Concern,779
9,Water in Basement Complaint,4823
9,Weed Removal Request,18922
9,Wire Basket Request,706
9,Yard Waste Pick-Up Request,5941
10,311 INFORMATION ONLY CALL,335738
10,Abandoned Vehicle Complaint,21864
10,Aircraft Noise Complaint,171615
10,Alley Light Out Complaint,4067
10,Alley Pothole Complaint,3764
10,Alley Sewer Inspection Request,611
10,Animal In Trap Complaint,155
10,Bee/Wasp Removal,284
10,Bicycle Request/Complaint,336
10,Blue Recycling Cart,9435
10,Building Violation,10366
10,Buildings - Plumbing Violation,3695
10,Bungalow/Vintage Home Information Request,44
10,Business Complaints,2156
10,Cab Feedback,1580
10,Cable TV Complaint,141
10,Check for Leak,4527
10,City Vehicle Sticker Violation,1857
10,Clean Vacant Lot Request,1867
10,Clean and Green Program Request,61
10,Commercial Fire Safety Inspection Request,108
10,Consumer Fraud Complaint,642
10,Consumer Retail Business Complaint,359
10,Coyote Interaction Complaint,904
10,Dead Animal Pick-Up Request,8330
10,Dead Bird,469
10,Divvy Bike Parking Complaint,975
10,E-Scooter,97
10,E-Scooter Parking Complaint,2124
10,Finance Parking Code Enforcement Review,2941
10,Fly Dumping Complaint,6150
10,Garbage Cart Maintenance,24541
10,Graffiti Removal Request,46512
10,Home Buyer Program Info Request,127
10,Inaccurate Fuel Pump Complaint,26
10,Inaccurate Retail Scales Complaint,6
10,Inspect Public Way Request,3778
10,Lead Inspection Request,127
10,Licensed Pharmaceutical Representative Complaint,2
10,Liquor Establishment Complaint,135
10,Low Water Pressure Complaint,931
10,Missed Garbage Pick-Up Complaint,2815
10,No Air Conditioning,30
10,No Building Permit and Construction Violation,2860
10,No Solicitation Complaint,25
10,No Water Complaint,1483
10,Nuisance Animal Complaint,2977
10,Open Fire Hydrant Complaint,1395
10,Outdated Merchandise Complaint,23
10,Paid Sick Leave Violation,57
10,Pavement Cave-In Inspection Request,15
10,Pet Wellness Check Request,1440
10,Petcoke Dust Complaint,1
10,Porch Inspection Request,245
10,Pothole in Street Complaint,11528
10,Protected Bike Lane - Debris Removal,149
10,Public Vehicle Complaint,131
10,Pushcart Food Vendor Complaint,127
10,Recycling Inspection Request,165
10,Recycling Pick Up,2402
10,Renters and Foreclosure Complaint,18
10,Report an Injured Animal,4662
10,Restaurant Complaint,1469
10,Ridesharing Complaint,85
10,Rodent Baiting/Rat Complaint,29636
10,Sanitation Code Violation,6181
10,Sewer Cave-In Inspection Request,2302
10,Sewer Cleaning Inspection Request,4222
10,Shared Cost Sidewalk Program Request,1
10,Shared Housing/Vacation Rental Complaint,252
10,Sidewalk Café/Outdoor Dining Complaint,167
10,Sidewalk Inspection Request,4007
10,Sign Repair Request - All Other Signs,9163
10,Sign Repair Request - Do Not Enter Sign,328
10,Sign Repair Request - One Way Sign,1032
10,Sign Repair Request - Stop Sign,2354
10,Smokeless Tobacco at Sports Event Complaint,2
10,Stray Animal Complaint,5981
10,Street Cleaning Request,2445
10,Street Light On During Day Complaint,432
10,Street Light Out Complaint,24885
10,Street Light Pole Damage Complaint,2435
10,Street Light Pole Door Missing Complaint,476
10,Submerged Divvy or Lime Device in the Lake/River,11
10,Tobacco - General Complaint,85
10,Tobacco - Sale to Minors Complaint,49
10,Traffic Signal Out Complaint,12216
10,Tree Debris Clean-Up Request,12855
10,Tree Emergency,8899
10,Tree Planting Request,6743
10,Tree Removal Inspection,8462
10,Tree Trim Request (NO LONGER BEING ACCEPTED),17965
10,Vacant/Abandoned Building Complaint,2555
10,Vehicle Parked in Bike Lane Complaint,1030
10,Viaduct Light Out Complaint,211
10,Vicious Animal Complaint,3759
10,Wage Complaint,103
10,Water Lead Test Kit Request,4478
10,Water Lead Test Visit Request,920
10,Water On Street Complaint,3276
10,Water Quality Concern,350
10,Water in Basement Complaint,1670
10,Weed Removal Request,6067
10,Wire Basket Request,542
10,Yard Waste Pick-Up Request,6774
11,311 INFORMATION ONLY CALL,328241
11,Abandoned Vehicle Complaint,20145
11,Aircraft Noise Complaint,153201
11,Alley Light Out Complaint,4429
11,Alley Pothole Complaint,2831
11,Alley Sewer Inspection Request,338
11,Animal In Trap Complaint,96
11,Bee/Wasp Removal,314
11,Bicycle Request/Complaint,228
11,Blue Recycling Cart,8384
11,Building Violation,8681
11,Buildings - Plumbing Violation,3337
11,Bungalow/Vintage Home Information Request,37
11,Business Complaints,2249
11,Cab Feedback,1393
11,Cable TV Complaint,141
11,Check for Leak,4200
11,City Vehicle Sticker Violation,1527
11,Clean Vacant Lot Request,1292
11,Clean and Green Program Request,20
11,Commercial Fire Safety Inspection Request,125
11,Consumer Fraud Complaint,546
11,Consumer Retail Business Complaint,325
11,Coyote Interaction Complaint,1148
11,Dead Animal Pick-Up Request,5642
11,Dead Bird,194
11,Divvy Bike Parking Complaint,993
11,E-Scooter,43
11,E-Scooter Parking Complaint,2036
11,Finance Parking Code Enforcement Review,2842
11,Fly Dumping Complaint,5261
11,Garbage Cart Maintenance,21099
11,Graffiti Removal Request,44915
11,Home Buyer Program Info Request,102
11,Ice and Snow Removal Request,1571
11,Inaccurate Fuel Pump Complaint,27
11,Inaccurate Retail Scales Complaint,2
11,Inspect Public Way Request,3231
11,Lead Inspection Request,128
11,Licensed Pharmaceutical Representative Complaint,5
11,Liquor Establishment Complaint,110
11,Low Water Pressure Complaint,744
11,Missed Garbage Pick-Up Complaint,4344
11,No Air Conditioning,8
11,No Building Permit and Construction Violation,2328
11,No Solicitation Complaint,26
11,No Water Complaint,1457
11,Nuisance Animal Complaint,2490
11,Open Fire Hydrant Complaint,860
11,Outdated Merchandise Complaint,31
11,Paid Sick Leave Violation,102
11,Pavement Cave-In Inspection Request,7
11,Pet Wellness Check Request,1647
11,Porch Inspection Request,187
11,Pothole in Street Complaint,10378
11,Protected Bike Lane - Debris Removal,131
11,Public Vehicle Complaint,135
11,Pushcart Food Vendor Complaint,56
11,Recycling Inspection Request,123
11,Recycling Pick Up,2444
11,Renters and Foreclosure Complaint,19
11,Report an Injured Animal,3274
11,Restaurant Complaint,1154
11,Ridesharing Complaint,86
11,Rodent Baiting/Rat Complaint,20177
11,Sanitation Code Violation,4571
11,Sewer Cave-In Inspection Request,1461
11,Sewer Cleaning Inspection Request,2923
11,Shared Housing/Vacation Rental Complaint,203
11,Sidewalk Café/Outdoor Dining Complaint,88
11,Sidewalk Inspection Request,2513
11,Sign Repair Request - All Other Signs,8365
11,Sign Repair Request - Do Not Enter Sign,315
11,Sign Repair Request - One Way Sign,962
11,Sign Repair Request - Stop Sign,2294
11,Smokeless Tobacco at Sports Event Complaint,4
11,Snow - Object/Dibs Removal Request,286
11,Snow Removal - Protected Bike Lane or Bridge Sidewalk,39
11,Snow – Uncleared Sidewalk Complaint,777
11,Stray Animal Complaint,5533
11,Street Cleaning Request,3337
11,Street Light On During Day Complaint,374
11,Street Light Out Complaint,21970
11,Street Light Pole Damage Complaint,2244
11,Street Light Pole Door Missing Complaint,366
11,Submerged Divvy or Lime Device in the Lake/River,1
11,Tobacco - General Complaint,69
11,Tobacco - Sale to Minors Complaint,55
11,Traffic Signal Out Complaint,11089
11,Tree Debris Clean-Up Request,8273
11,Tree Emergency,5154
11,Tree Planting Request,4135
11,Tree Removal Inspection,5090
11,Tree Trim Request (NO LONGER BEING ACCEPTED),17889
11,Vacant/Abandoned Building Complaint,1871
11,Vehicle Parked in Bike Lane Complaint,677
11,Viaduct Light Out Complaint,189
11,Vicious Animal Complaint,2947
11,Wage Complaint,109
11,Water Lead Test Kit Request,3855
11,Water Lead Test Visit Request,706
11,Water On Street Complaint,1765
11,Water Quality Concern,247
11,Water in Basement Complaint,1186
11,Weed Removal Request,2832
11,Wire Basket Request,385
11,Yard Waste Pick-Up Request,14202
12,311 INFORMATION ONLY CALL,341410
12,Abandoned Vehicle Complaint,20682
12,Aircraft Noise Complaint,151733
12,Alley Light Out Complaint,3183
12,Alley Pothole Complaint,2498
12,Alley Sewer Inspection Request,325
12,Animal In Trap Complaint,86
12,Bee/Wasp Removal,203
12,Bicycle Request/Complaint,206
12,Blue Recycling Cart,8424
12,Building Violation,8583
12,Buildings - Plumbing Violation,4603
12,Bungalow/Vintage Home Information Request,35
12,Business Complaints,2146
12,Cab Feedback,1253
12,Cable TV Complaint,122
12,Check for Leak,5895
12,City Vehicle Sticker Violation,1668
12,Clean Vacant Lot Request,1028
12,Clean and Green Program Request,7
12,Commercial Fire Safety Inspection Request,122
12,Consumer Fraud Complaint,661
12,Consumer Retail Business Complaint,353
12,Coyote Interaction Complaint,1107
12,Dead Animal Pick-Up Request,4608
12,Dead Bird,180
12,Divvy Bike Parking Complaint,384
12,E-Scooter,15
12,E-Scooter Parking Complaint,537
12,Finance Parking Code Enforcement Review,2629
12,Fly Dumping Complaint,4730
12,Garbage Cart Maintenance,19247
12,Graffiti Removal Request,48395
12,Home Buyer Program Info Request,129
12,Ice and Snow Removal Request,5575
12,Inaccurate Fuel Pump Complaint,46
12,Inspect Public Way Request,2686
12,Lead Inspection Request,122
12,Licensed Pharmaceutical Representative Complaint,7
12,Liquor Establishment Complaint,119
12,Low Water Pressure Complaint,852
12,Missed Garbage Pick-Up Complaint,4993
12,No Air Conditioning,5
12,No Building Permit and Construction Violation,1966
12,No Solicitation Complaint,15
12,No Water Complaint,2504
12,Nuisance Animal Complaint,2028
12,Open Fire Hydrant Complaint,1192
12,Outdated Merchandise Complaint,24
12,Paid Sick Leave Violation,114
12,Pavement Cave-In Inspection Request,13
12,Pet Wellness Check Request,1830
12,Porch Inspection Request,170
12,Pothole in Street Complaint,14286
12,Protected Bike Lane - Debris Removal,126
12,Public Vehicle Complaint,116
12,Pushcart Food Vendor Complaint,35
12,Recycling Inspection Request,145
12,Recycling Pick Up,3260
12,Renters and Foreclosure Complaint,9
12,Report an Injured Animal,2610
12,Restaurant Complaint,1352
12,Ridesharing Complaint,75
12,Rodent Baiting/Rat Complaint,15691
12,Sanitation Code Violation,4826
12,Sewer Cave-In Inspection Request,1225
12,Sewer Cleaning Inspection Request,2616
12,Shared Housing/Vacation Rental Complaint,182
12,Sidewalk Café/Outdoor Dining Complaint,94
12,Sidewalk Inspection Request,1819
12,Sign Repair Request - All Other Signs,7439
12,Sign Repair Request - Do Not Enter Sign,316
12,Sign Repair Request - One Way Sign,849
12,Sign Repair Request - Stop Sign,2148
12,Smokeless Tobacco at Sports Event Complaint,2
12,Snow - Object/Dibs Removal Request,1983
12,Snow Removal - Protected Bike Lane or Bridge Sidewalk,407
12,Snow – Uncleared Sidewalk Complaint,7128
12,Stray Animal Complaint,5463
12,Street Cleaning Request,2066
12,Street Light On During Day Complaint,280
12,Street Light Out Complaint,16408
12,Street Light Pole Damage Complaint,2070
12,Street Light Pole Door Missing Complaint,229
12,Tobacco - General Complaint,77
12,Tobacco - Sale to Minors Complaint,57
12,Traffic Signal Out Complaint,10940
12,Tree Debris Clean-Up Request,3939
12,Tree Emergency,3146
12,Tree Planting Request,3739
12,Tree Removal Inspection,3383
12,Tree Trim Request (NO LONGER BEING ACCEPTED),16478
12,Vacant/Abandoned Building Complaint,1683
12,Vehicle Parked in Bike Lane Complaint,642
12,Viaduct Light Out Complaint,195
12,Vicious Animal Complaint,2500
12,Wage Complaint,109
12,Water Lead Test Kit Request,3567
12,Water Lead Test Visit Request,710
12,Water On Street Complaint,2816
12,Water Quality Concern,302
12,Water in Basement Complaint,1789
12,Weed Removal Request,18
12,Wire Basket Request,353
12,Yard Waste Pick-Up Request,4933
