year,record_count,unique_sr_numbers,unique_sr_types,unique_departments,unique_wards,unique_community_areas,missing_latitude_pct,missing_longitude_pct,missing_ward_pct,missing_community_area_pct,min_created_date,max_created_date,file_size_mb
2020,2038034,2038034,104,15,50,77,0.11,0.11,0.14,0.15,2020-01-01 00:00:15,2020-12-31 23:59:28,329.09
2021,1831871,1831871,104,14,50,77,0.09,0.09,0.13,0.14,2021-01-01 00:00:09,2021-12-31 23:57:32,294.81
